createdAt;value
2019-09-09T20:41:29.000Z;0.60
2019-09-09T20:42:29.000Z;1.20
2019-09-09T20:43:29.000Z;1.60
2019-09-09T20:44:29.000Z;1.60
2019-09-09T20:45:29.000Z;1.90
2019-09-09T20:46:30.000Z;1.80
2019-09-09T20:47:30.000Z;2.00
2019-09-09T20:48:30.000Z;1.80
2019-09-09T20:49:30.000Z;1.50
2019-09-09T20:50:30.000Z;1.90
2019-09-09T20:51:30.000Z;1.50
2019-09-09T20:52:30.000Z;1.90
2019-09-09T20:53:30.000Z;1.60
2019-09-09T20:54:30.000Z;1.70
2019-09-09T20:55:31.000Z;2.10
2019-09-09T20:56:31.000Z;2.30
2019-09-09T20:57:31.000Z;2.80
2019-09-09T20:58:31.000Z;2.50
2019-09-09T20:59:31.000Z;2.40
2019-09-09T21:00:31.000Z;2.10
2019-09-09T21:01:31.000Z;1.80
2019-09-09T21:02:31.000Z;2.20
2019-09-09T21:03:31.000Z;2.10
2019-09-09T21:04:31.000Z;2.30
2019-09-09T21:05:32.000Z;2.00
2019-09-09T21:06:32.000Z;2.20
2019-09-09T21:07:32.000Z;2.20
2019-09-09T21:08:32.000Z;2.10
2019-09-09T21:09:32.000Z;2.30
2019-09-09T21:10:32.000Z;2.00
2019-09-09T21:11:32.000Z;1.80
2019-09-09T21:12:32.000Z;1.90
2019-09-09T21:13:32.000Z;1.70
2019-09-09T21:14:33.000Z;2.00
2019-09-09T21:15:33.000Z;1.80
2019-09-09T21:16:33.000Z;2.10
2019-09-09T21:17:33.000Z;2.10
2019-09-09T21:18:33.000Z;2.00
2019-09-09T21:19:33.000Z;2.00
2019-09-09T21:20:33.000Z;1.90
2019-09-09T21:21:33.000Z;2.50
2019-09-09T21:22:33.000Z;2.10
2019-09-09T21:23:34.000Z;1.90
2019-09-09T21:24:34.000Z;2.20
2019-09-09T21:25:34.000Z;2.30
2019-09-09T21:26:34.000Z;4.50
2019-09-09T21:27:34.000Z;3.10
2019-09-09T21:28:34.000Z;2.40
2019-09-09T21:29:34.000Z;2.10
2019-09-09T21:30:34.000Z;2.30
2019-09-09T21:31:34.000Z;2.50
2019-09-09T21:32:35.000Z;2.40
2019-09-09T21:33:35.000Z;2.50
2019-09-09T21:34:35.000Z;2.40
2019-09-09T21:35:35.000Z;2.30
2019-09-09T21:36:35.000Z;2.40
2019-09-09T21:37:35.000Z;2.40
2019-09-09T21:38:35.000Z;2.40
2019-09-09T21:39:35.000Z;2.30
2019-09-09T21:40:35.000Z;2.60
2019-09-09T21:41:36.000Z;2.40
2019-09-09T21:42:36.000Z;2.40
2019-09-09T21:43:36.000Z;2.90
2019-09-09T21:44:36.000Z;2.80
2019-09-09T21:45:36.000Z;2.90
2019-09-09T21:46:36.000Z;2.50
2019-09-09T21:47:36.000Z;2.80
2019-09-09T21:48:36.000Z;2.50
2019-09-09T21:49:36.000Z;3.10
2019-09-09T21:50:37.000Z;2.80
2019-09-09T21:51:37.000Z;2.90
2019-09-09T21:52:37.000Z;3.40
2019-09-09T21:53:37.000Z;2.70
2019-09-09T21:54:37.000Z;3.40
2019-09-09T21:55:37.000Z;3.20
2019-09-09T21:56:37.000Z;3.10
2019-09-09T21:57:37.000Z;3.10
2019-09-09T21:58:37.000Z;3.30
2019-09-09T21:59:37.000Z;3.20
2019-09-09T22:00:38.000Z;3.20
2019-09-09T22:01:38.000Z;3.20
2019-09-09T22:02:38.000Z;3.20
2019-09-09T22:03:38.000Z;3.00
2019-09-09T22:04:38.000Z;3.50
2019-09-09T22:05:38.000Z;3.00
2019-09-09T22:06:38.000Z;3.30
2019-09-09T22:07:38.000Z;3.30
2019-09-09T22:08:38.000Z;3.80
2019-09-09T22:09:38.000Z;3.80
2019-09-09T22:10:38.000Z;3.60
2019-09-09T22:11:38.000Z;3.40
2019-09-09T22:12:39.000Z;3.60
2019-09-09T22:13:39.000Z;5.40
2019-09-09T22:14:39.000Z;5.20
2019-09-09T22:15:39.000Z;4.00
2019-09-09T22:16:39.000Z;3.90
2019-09-09T22:17:39.000Z;4.40
2019-09-09T22:18:39.000Z;3.70
2019-09-09T22:19:39.000Z;3.30
2019-09-09T22:20:39.000Z;4.10
2019-09-09T22:21:39.000Z;4.00
2019-09-09T22:22:39.000Z;4.00
2019-09-09T22:23:40.000Z;3.80
2019-09-09T22:24:40.000Z;3.20
2019-09-09T22:25:40.000Z;3.10
2019-09-09T22:26:40.000Z;3.00
2019-09-09T22:27:40.000Z;3.00
2019-09-09T22:28:40.000Z;3.30
2019-09-09T22:29:40.000Z;3.40
2019-09-09T22:30:40.000Z;3.60
2019-09-09T22:31:40.000Z;3.30
2019-09-09T22:32:40.000Z;3.40
2019-09-09T22:33:40.000Z;3.40
2019-09-09T22:34:40.000Z;3.80
2019-09-09T22:35:41.000Z;4.10
2019-09-09T22:36:41.000Z;3.90
2019-09-09T22:37:41.000Z;3.80
2019-09-09T22:38:41.000Z;4.00
2019-09-09T22:39:41.000Z;4.10
2019-09-09T22:40:41.000Z;3.80
2019-09-09T22:41:41.000Z;3.70
2019-09-09T22:42:41.000Z;4.10
2019-09-09T22:43:41.000Z;4.70
2019-09-09T22:44:41.000Z;4.00
2019-09-09T22:45:41.000Z;4.20
2019-09-09T22:46:42.000Z;3.70
2019-09-09T22:47:42.000Z;4.00
2019-09-09T22:48:42.000Z;4.00
2019-09-09T22:49:42.000Z;3.90
2019-09-09T22:50:42.000Z;4.10
2019-09-09T22:51:42.000Z;11.50
2019-09-09T22:52:42.000Z;20.10
2019-09-09T22:53:42.000Z;16.90
2019-09-09T22:54:42.000Z;7.70
