createdAt;value_temp;value_pm;value_hum
2020-03-27T11:44:34.000Z;12.07;17.70;41.82
2020-03-27T11:49:34.000Z;11.72;20.40;47.16
2020-03-27T11:54:34.000Z;11.62;20.10;44.71
2020-03-27T11:59:34.000Z;11.70;20.50;41.65
2020-03-27T12:04:34.000Z;11.90;20.70;45.00
2020-03-27T12:09:34.000Z;12.13;19.60;46.00
2020-03-27T12:14:34.000Z;12.08;19.50;46.20
2020-03-27T12:19:34.000Z;12.12;19.40;45.28
2020-03-27T12:24:34.000Z;12.19;19.80;46.30
2020-03-27T12:29:34.000Z;12.26;19.80;43.35
2020-03-27T12:34:34.000Z;12.41;20.00;45.06
2020-03-27T12:39:35.000Z;12.54;21.40;43.91
2020-03-27T12:44:35.000Z;12.59;21.90;45.24
2020-03-27T12:49:35.000Z;12.63;19.80;44.22
2020-03-27T12:54:35.000Z;12.71;20.20;44.53
2020-03-27T12:59:35.000Z;12.81;21.90;45.12
2020-03-27T13:04:35.000Z;12.94;20.50;43.69
2020-03-27T13:09:35.000Z;13.03;21.00;43.87
2020-03-27T13:14:35.000Z;14.01;22.30;51.01
2020-03-27T13:19:35.000Z;14.97;23.20;45.43
2020-03-27T13:24:35.000Z;15.48;23.50;44.38
2020-03-27T13:29:35.000Z;15.68;25.30;40.71
2020-03-27T13:34:35.000Z;15.85;23.20;44.95
2020-03-27T13:39:35.000Z;16.04;22.70;46.34
2020-03-27T13:44:35.000Z;16.08;23.20;43.00
2020-03-27T13:49:35.000Z;16.13;22.50;43.51
2020-03-27T13:54:35.000Z;16.04;22.80;41.28
2020-03-27T13:59:35.000Z;16.03;23.10;40.67
2020-03-27T14:04:36.000Z;16.01;24.70;40.67
2020-03-27T14:09:36.000Z;16.08;22.70;43.00
2020-03-27T14:14:36.000Z;16.08;24.60;43.10
2020-03-27T14:19:36.000Z;15.98;24.50;42.29
2020-03-27T14:24:36.000Z;15.98;23.50;45.43
2020-03-27T14:29:36.000Z;15.99;22.40;42.40
2020-03-27T14:34:36.000Z;16.01;22.60;42.60
2020-03-27T14:39:36.000Z;15.92;22.00;41.91
2020-03-27T14:44:36.000Z;15.74;23.10;43.73
2020-03-27T14:49:36.000Z;15.64;22.40;43.65
2020-03-27T14:54:36.000Z;15.55;24.50;45.57
2020-03-27T14:59:36.000Z;15.52;23.50;42.74
2020-03-27T15:04:36.000Z;15.52;23.20;42.33
2020-03-27T15:09:36.000Z;15.51;23.50;42.63
2020-03-27T15:14:36.000Z;15.46;25.10;42.33
2020-03-27T15:19:36.000Z;15.41;23.70;42.35
2020-03-27T15:24:36.000Z;15.41;22.10;44.68
2020-03-27T15:29:37.000Z;15.43;22.40;41.34
2020-03-27T15:34:37.000Z;15.37;22.90;43.77
2020-03-27T15:39:37.000Z;15.27;24.00;45.70
2020-03-27T15:44:37.000Z;15.19;24.00;43.69
2020-03-27T15:49:37.000Z;15.20;23.60;44.50
2020-03-27T15:54:37.000Z;15.18;23.40;43.29
2020-03-27T15:59:37.000Z;15.07;23.60;42.37
2020-03-27T16:04:37.000Z;15.11;23.80;46.63
2020-03-27T16:09:37.000Z;15.04;23.40;43.69
2020-03-27T16:14:37.000Z;14.95;23.70;43.51
2020-03-27T16:19:37.000Z;14.83;24.00;43.61
2020-03-27T16:24:37.000Z;14.85;23.80;44.12
2020-03-27T16:29:37.000Z;14.78;23.20;45.76
2020-03-27T16:34:37.000Z;14.72;23.70;41.60
2020-03-27T16:39:37.000Z;14.63;23.20;43.93
2020-03-27T16:44:37.000Z;14.59;24.50;46.27
2020-03-27T16:49:37.000Z;14.49;22.00;45.89
2020-03-27T16:54:38.000Z;14.41;23.90;44.16
2020-03-27T16:59:38.000Z;14.31;24.00;46.21
2020-03-27T17:04:38.000Z;14.20;23.20;45.80
2020-03-27T17:09:38.000Z;14.12;23.80;44.89
2020-03-27T17:14:38.000Z;14.01;24.20;44.91
2020-03-27T17:19:38.000Z;13.93;23.10;47.05
2020-03-27T17:24:38.000Z;13.80;23.40;47.98
2020-03-27T17:29:38.000Z;13.69;24.10;48.19
2020-03-27T17:34:38.000Z;13.62;24.00;47.19
2020-03-27T17:39:38.000Z;13.50;23.60;47.60
2020-03-27T17:44:38.000Z;13.32;23.80;46.20
2020-03-27T17:49:38.000Z;13.22;21.90;48.03
2020-03-27T17:54:38.000Z;13.09;22.20;46.62
2020-03-27T17:59:38.000Z;12.96;21.60;49.48
2020-03-27T18:04:38.000Z;12.84;20.50;50.82
2020-03-27T18:09:38.000Z;12.70;21.40;50.03
2020-03-27T18:14:38.000Z;12.59;22.80;51.66
2020-03-27T18:19:38.000Z;12.46;22.70;49.85
2020-03-27T18:24:38.000Z;12.31;23.40;47.91
2020-03-27T18:29:38.000Z;12.22;23.90;49.77
2020-03-27T18:34:38.000Z;12.07;25.20;51.30
2020-03-27T18:39:38.000Z;11.94;22.40;51.93
2020-03-27T18:44:38.000Z;11.84;21.40;51.93
2020-03-27T18:49:39.000Z;11.77;20.90;47.88
2020-03-27T18:54:39.000Z;11.67;21.60;51.04
2020-03-27T18:59:39.000Z;11.59;21.40;52.80
2020-03-27T19:04:39.000Z;11.46;21.70;53.31
2020-03-27T19:09:39.000Z;11.39;20.40;53.31
2020-03-27T19:14:39.000Z;11.27;21.60;52.32
2020-03-27T19:19:39.000Z;11.20;21.50;50.48
2020-03-27T19:24:39.000Z;11.16;20.80;53.44
2020-03-27T19:29:39.000Z;11.06;22.00;54.08
2020-03-27T19:34:39.000Z;10.99;23.00;54.28
2020-03-27T19:39:39.000Z;10.95;22.80;53.26
2020-03-27T19:44:39.000Z;10.91;22.70;52.57
2020-03-27T19:49:39.000Z;10.83;21.60;54.31
2020-03-27T19:54:39.000Z;10.75;22.10;54.72
2020-03-27T19:59:39.000Z;10.63;22.80;53.82
2020-03-27T20:04:39.000Z;10.51;22.80;55.36
2020-03-27T20:09:39.000Z;10.47;22.10;54.97
2020-03-27T20:14:39.000Z;10.44;21.00;55.79
2020-03-27T20:19:39.000Z;10.35;21.80;54.16
2020-03-27T20:24:39.000Z;10.32;22.70;51.90
2020-03-27T20:29:39.000Z;10.24;22.80;56.74
2020-03-27T20:34:39.000Z;10.10;24.00;55.51
2020-03-27T20:39:39.000Z;10.01;23.70;56.35
2020-03-27T20:44:40.000Z;9.92;23.20;59.64
2020-03-27T20:49:40.000Z;9.81;22.60;58.74
2020-03-27T20:54:40.000Z;9.71;22.60;58.54
2020-03-27T20:59:40.000Z;9.60;23.20;58.36
2020-03-27T21:04:40.000Z;9.52;24.00;57.84
2020-03-27T21:09:40.000Z;9.42;22.50;58.87
2020-03-27T21:14:40.000Z;9.30;24.60;59.92
2020-03-27T21:19:40.000Z;9.17;21.70;58.80
2020-03-27T21:24:40.000Z;9.06;23.20;59.34
2020-03-27T21:29:40.000Z;8.94;23.90;60.26
2020-03-27T21:34:40.000Z;8.88;24.80;59.06
2020-03-27T21:39:40.000Z;8.86;22.60;58.75
2020-03-27T21:44:40.000Z;8.80;25.60;60.19
2020-03-27T21:49:40.000Z;8.75;24.00;59.67
2020-03-27T21:54:40.000Z;8.60;25.50;64.73
2020-03-27T21:59:40.000Z;8.43;27.40;64.46
2020-03-27T22:04:40.000Z;8.27;26.60;65.08
2020-03-27T22:09:40.000Z;8.12;28.10;64.69
2020-03-27T22:14:40.000Z;8.03;26.10;63.97
2020-03-27T22:19:40.000Z;7.91;28.90;64.41
2020-03-27T22:24:40.000Z;7.74;29.80;68.56
2020-03-27T22:29:40.000Z;7.55;30.00;69.01
2020-03-27T22:34:40.000Z;7.41;28.90;69.83
2020-03-27T22:39:41.000Z;7.29;30.00;68.01
2020-03-27T22:44:41.000Z;7.18;32.50;67.80
2020-03-27T22:49:41.000Z;7.09;34.20;68.66
2020-03-27T22:54:41.000Z;6.99;32.60;69.38
2020-03-27T22:59:41.000Z;6.87;36.90;70.13
2020-03-27T23:04:41.000Z;6.71;38.60;73.22
