createdAt;value_hum;value_pm;value_temp
2019-09-09T20:41:29.000Z;46.83;0.60;18.29
2019-09-09T20:42:29.000Z;45.72;1.20;18.31
2019-09-09T20:43:29.000Z;46.25;1.60;18.17
2019-09-09T20:44:29.000Z;46.25;1.60;18.02
2019-09-09T20:45:29.000Z;46.97;1.90;17.87
2019-09-09T20:46:30.000Z;47.40;1.80;17.65
2019-09-09T20:47:30.000Z;47.92;2.00;17.40
2019-09-09T20:48:30.000Z;48.25;1.80;17.25
2019-09-09T20:49:30.000Z;48.68;1.50;16.99
2019-09-09T20:50:30.000Z;49.48;1.90;16.88
2019-09-09T20:51:30.000Z;49.71;1.50;16.73
2019-09-09T20:52:30.000Z;50.24;1.90;16.62
2019-09-09T20:53:30.000Z;50.84;1.60;16.44
2019-09-09T20:54:30.000Z;51.07;1.70;16.33
2019-09-09T20:55:31.000Z;51.48;2.10;16.26
2019-09-09T20:56:31.000Z;51.88;2.30;16.16
2019-09-09T20:57:31.000Z;52.21;2.80;16.06
2019-09-09T20:58:31.000Z;52.51;2.50;15.96
2019-09-09T20:59:31.000Z;52.64;2.40;15.91
2019-09-09T21:00:31.000Z;52.94;2.10;15.84
2019-09-09T21:01:31.000Z;53.14;1.80;15.78
2019-09-09T21:02:31.000Z;53.34;2.20;15.77
2019-09-09T21:03:31.000Z;53.58;2.10;15.70
2019-09-09T21:04:31.000Z;53.88;2.30;15.67
2019-09-09T21:05:32.000Z;53.98;2.00;15.64
2019-09-09T21:06:32.000Z;53.98;2.20;15.59
2019-09-09T21:07:32.000Z;54.08;2.20;15.56
2019-09-09T21:08:32.000Z;54.38;2.10;15.52
2019-09-09T21:09:32.000Z;54.38;2.30;15.48
2019-09-09T21:10:32.000Z;54.71;2.00;15.44
2019-09-09T21:11:32.000Z;54.92;1.80;15.41
2019-09-09T21:12:32.000Z;55.12;1.90;15.38
2019-09-09T21:13:32.000Z;55.32;1.70;15.34
2019-09-09T21:14:33.000Z;55.73;2.00;15.28
2019-09-09T21:15:33.000Z;55.73;1.80;15.27
2019-09-09T21:16:33.000Z;55.83;2.10;15.25
2019-09-09T21:17:33.000Z;56.26;2.10;15.18
2019-09-09T21:18:33.000Z;56.36;2.00;15.15
2019-09-09T21:19:33.000Z;56.46;2.00;15.15
2019-09-09T21:20:33.000Z;56.67;1.90;15.12
2019-09-09T21:21:33.000Z;56.87;2.50;15.11
2019-09-09T21:22:33.000Z;57.28;2.10;15.07
2019-09-09T21:23:34.000Z;57.37;1.90;15.04
2019-09-09T21:24:34.000Z;57.30;2.20;15.01
